method,dataset,error_train_mean,error_train_sigma,error_test_mean,error_test_sigma,kendall_mean,kendall_sigma,time
Forests,f15,257.613,0.71148,1889.62,53.369,0.57053,0.0060547,817.901
GP (SEiso),f15,0.000000000000050975,0.000000000000000033926,197448,835.497,-0.28304,0.012868,6102.7
RBF-NN,f15,2089.15,11.7148,2611.95,56.7475,0.56654,0.0055436,2150.54
Forests,f16,70.9808,0.20628,406.041,11.0835,0.35729,0.0061499,463.554
GP (SEiso),f16,0.0000000000012744,0.000000000000001424,7779.25,76.7846,-0.035388,0.011505,5495.69
RBF-NN,f16,272.338,0.61025,549.13,6.4132,-0.018995,0.0093952,2233.19
Forests,f17,0.92002,0.0017299,6.759,0.1158,0.26027,0.0084398,566.256
GP (SEiso),f17,0.0000000001533,0.00000000000017231,64.6406,0.66478,-0.12951,0.0082847,5194.15
RBF-NN,f17,3.8941,0.013287,8.3113,0.23474,0,0,2175.51
Forests,f18,17.1274,0.038783,125.721,1.9028,0.23985,0.013774,915.25
GP (SEiso),f18,0.0000000000083333,0.000000000000018673,1064.4,10.1078,-0.12652,0.0094702,7049.74
RBF-NN,f18,76.2493,0.18174,161.856,3.3965,-0.097193,0.011804,2313.9
Forests,f19,99179.8,408.315,117722,4283.4,0.012604,0.0087313,156.216
GP (SEiso),f19,0.000000000000080378,0.00000000000000037355,115842,3872.36,0.019476,0.0072637,6912.38
RBF-NN,f19,26275.9,184.535,113345,3502.94,-0.0064673,0.0080193,2112.11
Forests,f20,0.0011678,0.0000017177,0.0086015,0.0001831,0.69539,0.0043909,1157.27
GP (SEiso),f20,0.00000000037975,0.000000000000041859,26.2324,0.026177,-0.243,0.0072493,4786.56
RBF-NN,f20,0.029233,0.00012676,0.028274,0.00064902,0.3236,0.010404,34.3285
Forests,f21,1.5428,0.0083247,2.9678,0.13377,0.35372,0.0097168,210.495
GP (SEiso),f21,0.0000000000014231,0.0000000000000001041,7187.28,2.755,-0.20869,0.0047369,5673.6
RBF-NN,f21,2.7034,0.016588,2.7719,0.1308,0.41821,0.0061222,2245.18
Forests,f22,0.39397,0.0034908,0.70852,0.047431,0.45464,0.0038603,203.738
GP (SEiso),f22,0.0000000000013539,0.000000000000000055802,7384.92,1.6755,-0.20632,0.0074075,5610.01
RBF-NN,f22,0.90216,0.0053302,0.89752,0.048102,0.25394,0.01025,33.1616
Forests,f23,4.6453,0.0087233,26.5011,0.62413,0.10034,0.0088086,131.858
GP (SEiso),f23,0.000000000037667,0.000000000000033531,263.492,2.0839,-0.0060024,0.0080956,4947.37
RBF-NN,f23,15.3888,0.045387,29.4083,0.52326,0.010762,0.009422,2283.07
Forests,f24,1535.21,2.983,8865.06,222.791,0.59316,0.0062893,587.555
GP (SEiso),f24,0.000052311,0.00000013061,671889,1792.93,-0.31932,0.0089144,3035.47
RBF-NN,f24,7801.66,54.3162,9498.29,252.49,0.59875,0.0055342,2627.37
